strategy,algo,func,dim,rep,fopt,time,iterations,seed
rand1bin,SMCO_R,Rastrigin,5000,1,142818.707987679,21591.242,221,1005024
rand1bin,SMCO_BR,Rastrigin,5000,1,142710.091571469,23244.695,146,1005024
rand1bin,SMCO_EVO,Rastrigin,5000,1,247399.566735938,30971.953,217,1005024
rand1bin,DEoptim,Rastrigin,5000,1,95881.8412229783,1.36900000000605,300,1005024
rand1bin,GA,Rastrigin,5000,1,96192.1846090012,9.18299999998999,300,1005024
rand1bin,PSO,Rastrigin,5000,1,142935.736843917,8.89700000001176,300,1005024
rand1bin,GenSA,Rastrigin,5000,1,188862.966431347,2006639.447,10051671,1005024
rand1bin,SA,Rastrigin,5000,1,144634.997205398,375.841999999713,300,1005024
rand1bin,SMCO,Ackley,5000,0,21.6956510170537,24987.496,371,5021
rand1bin,SMCO_R,Ackley,5000,0,21.7286224683534,25440.333,221,5021
rand1bin,SMCO_BR,Ackley,5000,0,21.9102727665549,24343.776,146,5021
rand1bin,SMCO_EVO,Ackley,5000,0,22.1008446987178,36228.022,217,5021
rand1bin,DEoptim,Ackley,5000,0,21.3465178741378,1.38499999999476,300,5021
rand1bin,GA,Ackley,5000,0,21.3456473757345,9.13900000001013,300,5021
rand1bin,PSO,Ackley,5000,0,21.7442291753386,9.42300000000978,300,5021
rand1bin,GenSA,Ackley,5000,0,21.4199019338284,326157.33,4404910,5021
rand1bin,SA,Ackley,5000,0,21.9219213077501,1446.81800000003,300,5021
rand1bin,SMCO,Ackley,5000,1,21.6972495186705,24947.111,371,1005024
rand1bin,SMCO_R,Ackley,5000,1,21.7269193278062,25435.395,221,1005024
rand1bin,SMCO_BR,Ackley,5000,1,21.9114872669948,24299.533,146,1005024
rand1bin,SMCO_EVO,Ackley,5000,1,22.0955310624982,36335.882,217,1005024
rand1bin,DEoptim,Ackley,5000,1,21.3392562662143,1.35500000001048,300,1005024
rand1bin,GA,Ackley,5000,1,21.3383186096952,8.86699999999837,300,1005024
rand1bin,PSO,Ackley,5000,1,21.7410586188484,9.52300000000105,300,1005024
rand1bin,GenSA,Ackley,5000,1,21.4250915945746,308369.501,4403610,1005024
rand1bin,SA,Ackley,5000,1,21.9222376535129,1472.00300000003,300,1005024
rand1bin,SMCO,Rosenbrock,5000,0,1944394202.47714,16045.629,371,5021
rand1bin,SMCO_R,Rosenbrock,5000,0,1691900624.27196,16357.69,221,5021
rand1bin,SMCO_BR,Rosenbrock,5000,0,1312197561.99702,17419.166,146,5021
rand1bin,SMCO_EVO,Rosenbrock,5000,0,49031106151.1682,23568.406,217,5021
rand1bin,DEoptim,Rosenbrock,5000,0,705882802.459967,0.916999999986729,300,5021
rand1bin,GA,Rosenbrock,5000,0,696678309.398277,7.49000000000524,300,5021
rand1bin,PSO,Rosenbrock,5000,0,2510936355.8992,8.28200000000652,300,5021
rand1bin,GenSA,Rosenbrock,5000,0,3990717207.02568,2498359.463,8458476,5021
rand1bin,SA,Rosenbrock,5000,0,2749781214,180.594999999739,300,5021
rand1bin,SMCO,Rosenbrock,5000,1,1945602011.2889,16053.647,371,1005024
rand1bin,SMCO_R,Rosenbrock,5000,1,1689177510.78812,16370.224,221,1005024
rand1bin,SMCO_BR,Rosenbrock,5000,1,1308910089.03953,17422.811,146,1005024
rand1bin,SMCO_EVO,Rosenbrock,5000,1,53403365655.1876,23556.289,217,1005024
rand1bin,DEoptim,Rosenbrock,5000,1,706592230.169505,0.839999999996508,300,1005024
rand1bin,GA,Rosenbrock,5000,1,680213577.345914,7.36200000000827,300,1005024
rand1bin,PSO,Rosenbrock,5000,1,2475373532.29456,8.12900000000081,300,1005024
rand1bin,GenSA,Rosenbrock,5000,1,3992211960.38987,2368162.525,8256168,1005024
rand1bin,SA,Rosenbrock,5000,1,2756936619,178.031000000425,300,1005024
